Timestamp (ASCII);Timestamp (s);Timecounter (s);IMU X Acc (G);IMU Y Acc (G);IMU Z Acc (G);IMU X Gyr (dps);IMU Y Gyr (dps);IMU Z Gyr (dps);IMU X Mag (gauss);IMU Y Mag (gauss);IMU Z Mag (gauss);Temperature (C);Batt Voltage (V);RSSI (-dB)
05.03.2026 17:28:48.809748;1772728128.8097479;0.8409790;0.0339160;-0.0085400;-0.9780740;-0.5775000;-0.6300000;0.1225000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
05.03.2026 17:28:48.818805;1772728128.8188050;0.8500366;0.0355020;-0.0079300;-0.9788060;-0.5775000;-0.6300000;0.1225000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.827862;1772728128.8278623;0.8590941;0.0352580;-0.0085400;-0.9783180;-0.5250000;-0.6125000;0.1225000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.836919;1772728128.8369193;0.8681517;0.0342820;-0.0081740;-0.9790500;-0.4900000;-0.6650000;0.1750000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.845976;1772728128.8459764;0.8772093;0.0352580;-0.0080520;-0.9791720;-0.5775000;-0.6825000;0.1925000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.855034;1772728128.8550336;0.8862668;0.0350140;-0.0079300;-0.9792940;-0.5600000;-0.6475000;0.1750000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.864091;1772728128.8640907;0.8953244;0.0345260;-0.0082960;-0.9779520;-0.5775000;-0.6475000;0.1750000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.873148;1772728128.8731477;0.9043819;0.0347700;-0.0084180;-0.9789280;-0.6125000;-0.7175000;0.1400000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.882205;1772728128.8822050;0.9134395;0.0340380;-0.0079300;-0.9788060;-0.5250000;-0.7175000;0.1750000;0.0499781;-0.1885138;-0.0933801;9.3398438;4.0000000;58
05.03.2026 17:28:48.891262;1772728128.8912621;0.9224971;0.0342820;-0.0085400;-0.9786840;-0.5600000;-0.7875000;0.1575000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
05.03.2026 17:28:48.900319;1772728128.9003191;0.9315546;0.0339160;-0.0082960;-0.9783180;-0.5600000;-0.7175000;0.1225000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
05.03.2026 17:28:48.909376;1772728128.9093761;0.9406122;0.0339160;-0.0075640;-0.9784400;-0.5425000;-0.6650000;0.1575000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
05.03.2026 17:28:48.918433;1772728128.9184334;0.9496697;0.0344040;-0.0082960;-0.9785620;-0.5600000;-0.6650000;0.1575000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
05.03.2026 17:28:48.927490;1772728128.9274905;0.9587273;0.0345260;-0.0076860;-0.9780740;-0.5600000;-0.6650000;0.1925000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
05.03.2026 17:28:48.936548;1772728128.9365475;0.9677849;0.0346480;-0.0084180;-0.9789280;-0.5950000;-0.6125000;0.1750000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
05.03.2026 17:28:48.945605;1772728128.9456048;0.9768424;0.0341600;-0.0078080;-0.9794160;-0.5250000;-0.6825000;0.1400000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
